data,date,time,alertDate,category,category_desc,matrix_id,rid
Megilot Regional Center,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465344
Vered Yericho,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465343
Beit HaArava,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465342
Almog,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465341
Kalia Beach,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465340
Avnat,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465339
Aminadav,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465338
Ora,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465337
Even Sapir,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465336
Ein Kerem Boarding School,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465335
Motza Illit,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465334
Mevasseret Zion,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465333
Beit Zayit,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465332
Jerusalem - North,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465331
Jerusalem - Center,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465330
Jerusalem - West,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465329
Jerusalem - East,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465328
Jerusalem - Qafr 'Aqab,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465327
Jerusalem - South,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465326
Jerusalem - Atarot Industrial Zone,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465325
Givat Ze'ev,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465324
Givon HaHadasha,2026-03-12,09:38:09.0,2026-03-12T09:38:00.0,13,The event has ended,10,465323
Einot Kedem,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465322
